model,person,n_seeds,recall_mean,recall_sd
Model_A,person001,3,0.08974358974358976,0.022205779584216375
Model_A,person002,3,0.5448717948717948,0.12804477150921909
Model_A,person003,3,0.2948717948717949,0.1456130345076993
Model_A,person004,3,0.1217948717948718,0.04003203845127178
Model_A,person005,3,0.16025641025641027,0.011102889792108175
Model_A,person006,3,0.2435897435897436,0.08006407690254355
Model_A,person007,3,0.1858974358974359,0.011102889792108196
Model_A,person008,3,0.1858974358974359,0.11591757256426363
Model_A,person009,3,0.3397435897435897,0.04839637458506892
Model_A,person010,3,0.1730769230769231,0.01923076923076924
Model_A,person011,3,0.09615384615384616,0.019230769230769232
Model_A,person012,3,0.1858974358974359,0.0293754852240759
Model_A,person013,3,0.07692307692307693,0.0
Model_A,person014,3,0.1217948717948718,0.0777202285447573
Model_A,person015,3,0.07692307692307693,0.0
Model_A,person016,3,0.3205128205128205,0.0888231183368655
Model_A,person017,3,0.10897435897435898,0.04003203845127178
Model_A,person018,3,0.4551282051282051,0.055514448960540946
Model_A,person019,3,0.1858974358974359,0.05551444896054093
Model_A,person020,3,0.21153846153846154,0.05769230769230768
Model_A,person021,3,0.23076923076923075,0.11697620250573498
Model_A,person022,3,0.2371794871794872,0.14433756729740646
Model_A,person023,3,0.08333333333333333,0.011102889792108188
Model_A,person024,3,0.20512820512820515,0.029375485224075907
Model_A,person025,3,0.21153846153846154,0.06933752452815363
Model_A,person026,3,0.14102564102564102,0.011102889792108188
Model_A,person027,3,0.08974358974358976,0.02220577958421638
Model_A,person028,3,0.1217948717948718,0.04003203845127178
Model_A,person029,3,0.07692307692307693,0.0
Model_A,person030,3,0.17948717948717952,0.022205779584216375
Model_A,person031,3,0.1217948717948718,0.040032038451271776
Model_A,person032,3,0.282051282051282,0.01110288979210816
Model_A,person033,3,0.07692307692307693,0.0
Model_A,person034,3,0.08333333333333333,0.011102889792108188
Model_A,person035,3,0.3974358974358974,0.23183514512852726
Model_A,person036,3,0.6602564102564102,0.029375485224075903
Model_A,person037,3,0.1346153846153846,0.019230769230769235
Model_A,person038,3,0.09615384615384616,0.019230769230769235
Model_A,person039,3,0.10897435897435898,0.04003203845127178
Model_A,person040,3,0.07692307692307693,0.0
Model_A,person041,3,0.07692307692307693,0.0
Model_A,person042,3,0.25,0.050879832905088275
Model_A,person043,3,0.07692307692307693,0.0
Model_A,person044,3,0.2756410256410256,0.0618182741089292
Model_A,person045,3,0.10256410256410257,0.022205779584216375
Model_A,person046,3,0.14102564102564102,0.04839637458506891
Model_A,person047,3,0.10256410256410257,0.04441155916843276
Model_A,person048,3,0.17307692307692304,0.0
Model_A,person049,3,0.11538461538461538,0.05087983290508827
Model_A,person050,3,0.09615384615384615,0.033308669376324554
Model_A,person051,3,0.07692307692307693,0.0
Model_A,person052,3,0.08974358974358976,0.011102889792108188
Model_A,person053,3,0.23076923076923075,0.0
Model_A,person054,3,0.09615384615384615,0.033308669376324554
Model_A,person055,3,0.3525641025641026,0.16355577977144967
Model_A,person056,3,0.1730769230769231,0.050879832905088296
Model_A,person057,3,0.07692307692307693,0.0
Model_A,person058,3,0.6987179487179488,0.07280651725384964
Model_A,person059,3,0.11538461538461538,0.033308669376324554
Model_A,person060,3,0.15384615384615383,0.11697620250573498
Model_A,person061,3,0.3141025641025641,0.05875097044815178
Model_A,person062,3,0.4423076923076923,0.11697620250573498
Model_A,person063,3,0.09615384615384616,0.019230769230769232
Model_A,person064,3,0.17948717948717952,0.022205779584216375
Model_A,person065,3,0.16025641025641024,0.08006407690254357
Model_A,person066,3,0.2884615384615385,0.08382497968347451
Model_A,person067,3,0.07692307692307693,0.0
Model_A,person068,3,0.1987179487179487,0.0777202285447573
Model_A,person069,3,0.23076923076923075,0.12009611535381536
Model_A,person070,3,0.3461538461538462,0.03846153846153845
Model_A,person071,3,0.1217948717948718,0.06181827410892921
Model_A,person072,3,0.12820512820512822,0.07280651725384966
Model_A,person073,3,0.14102564102564105,0.04441155916843275
Model_A,person074,3,0.1794871794871795,0.061818274108929205
Model_A,person075,3,0.11538461538461538,0.03330866937632457
Model_A,person076,3,0.30128205128205127,0.06753624200546626
