model,person,n_seeds,recall_mean,recall_sd
Model_A,person013,3,0.07692307692307693,0.0
Model_A,person015,3,0.07692307692307693,0.0
Model_A,person029,3,0.07692307692307693,0.0
Model_A,person033,3,0.07692307692307693,0.0
Model_A,person040,3,0.07692307692307693,0.0
Model_A,person041,3,0.07692307692307693,0.0
Model_A,person043,3,0.07692307692307693,0.0
Model_A,person051,3,0.07692307692307693,0.0
Model_A,person057,3,0.07692307692307693,0.0
Model_A,person067,3,0.07692307692307693,0.0
Model_A,person108,3,0.07692307692307693,0.0
Model_A,person136,3,0.07692307692307693,0.0
Model_A,person146,3,0.07692307692307693,0.0
Model_A,person152,3,0.07692307692307693,0.0
Model_A,person023,3,0.08333333333333333,0.011102889792108188
Model_A,person034,3,0.08333333333333333,0.011102889792108188
Model_A,person080,3,0.08333333333333333,0.011102889792108188
Model_A,person083,3,0.08333333333333333,0.011102889792108188
Model_A,person103,3,0.08333333333333333,0.011102889792108188
Model_A,person148,3,0.08333333333333333,0.011102889792108188
