model,person,predicted_person,count,n_seeds,mean_confidence,mean_abs_yaw
Model_A,person003,person035,27,3,0.19640456,71.11111111111111
Model_A,person001,person126,27,3,0.19352339,49.44444444444444
Model_A,person069,person058,27,3,0.19294623,58.333333333333336
Model_A,person091,person002,27,3,0.16662253,48.333333333333336
Model_A,person006,person058,27,3,0.15348043,55.55555555555556
Model_A,person013,person058,27,3,0.15300407,56.666666666666664
Model_A,person035,person058,27,3,0.15185513,57.22222222222222
Model_A,person006,person126,27,2,0.17805767,55.55555555555556
Model_A,person051,person002,26,3,0.30773848,32.88461538461539
Model_A,person029,person002,26,3,0.23908101,38.07692307692308
Model_A,person027,person002,26,3,0.21299392,47.30769230769231
Model_A,person006,person062,26,3,0.19269237,49.03846153846154
Model_A,person076,person126,26,3,0.17079523,66.92307692307692
Model_A,person008,person058,26,3,0.17009789,53.65384615384615
Model_A,person109,person058,26,3,0.16557874,66.92307692307692
Model_A,person152,person002,26,3,0.14448877,53.65384615384615
Model_A,person064,person079,25,3,0.3029544,67.8
Model_A,person032,person079,25,3,0.2883016,74.4
Model_A,person020,person126,25,3,0.24597593,54.6
Model_A,person050,person002,25,3,0.23006023,46.2
Model_A,person026,person126,25,3,0.21510978,49.2
Model_A,person082,person126,25,3,0.20616359,61.2
Model_A,person062,person058,25,3,0.18908148,59.4
Model_A,person100,person002,25,3,0.15873702,46.8
Model_A,person001,person002,25,3,0.15604156,48.6
Model_A,person139,person002,25,3,0.1547633,54.0
Model_A,person025,person126,25,3,0.13274689,58.8
Model_A,person092,person058,25,3,0.11801768,45.0
Model_A,person044,person079,24,3,0.43709,76.875
Model_A,person111,person002,24,3,0.29777277,39.375
Model_A,person123,person079,24,3,0.2879872,74.375
Model_A,person141,person126,24,3,0.2213593,59.375
Model_A,person136,person002,24,3,0.16656597,55.0
Model_A,person141,person079,24,3,0.1451409,72.5
Model_A,person037,person035,24,3,0.13724615,68.125
Model_A,person078,person126,24,2,0.21648993,55.625
Model_A,person100,person126,24,2,0.20029126,56.875
Model_A,person118,person126,24,2,0.17097895,61.875
Model_A,person070,person079,23,3,0.30259678,62.608695652173914
Model_A,person149,person002,23,3,0.22952276,45.65217391304348
Model_A,person039,person058,23,3,0.21436971,58.69565217391305
Model_A,person086,person058,23,3,0.17920314,47.608695652173914
Model_A,person135,person058,23,3,0.1600785,56.08695652173913
Model_A,person089,person058,23,3,0.15018216,48.91304347826087
Model_A,person136,person058,23,3,0.11960477,60.65217391304348
Model_A,person029,person126,23,2,0.25019103,73.69565217391305
Model_A,person010,person126,23,2,0.20579168,59.34782608695652
Model_A,person082,person058,23,2,0.19965072,58.04347826086956
Model_A,person137,person058,23,2,0.14709924,71.08695652173913
Model_A,person016,person003,23,1,0.19909762,71.73913043478261
Model_A,person025,person079,22,3,0.3190502,66.81818181818181
Model_A,person090,person002,22,3,0.27883112,44.31818181818182
Model_A,person152,person139,22,3,0.27828553,30.681818181818183
Model_A,person041,person002,22,3,0.18169442,41.59090909090909
Model_A,person007,person058,22,3,0.17894496,53.18181818181818
Model_A,person127,person002,22,3,0.17702799,60.68181818181818
Model_A,person105,person058,22,3,0.16908568,59.31818181818182
Model_A,person056,person126,22,3,0.16891077,49.09090909090909
Model_A,person060,person058,22,3,0.13358536,62.72727272727273
Model_A,person134,person126,22,2,0.21918412,62.72727272727273
Model_A,person053,person126,22,2,0.14366117,60.68181818181818
Model_A,person047,person139,21,3,0.29413602,41.42857142857143
Model_A,person122,person079,21,3,0.27334514,70.0
Model_A,person113,person002,21,3,0.22063558,54.285714285714285
Model_A,person021,person002,21,3,0.2080292,62.142857142857146
Model_A,person105,person002,21,3,0.20452268,47.142857142857146
Model_A,person144,person058,21,3,0.19900317,45.714285714285715
Model_A,person143,person139,21,3,0.18884781,32.857142857142854
Model_A,person150,person058,21,3,0.16621931,61.42857142857143
Model_A,person125,person058,21,3,0.16309436,53.57142857142857
Model_A,person072,person058,21,3,0.16084997,42.142857142857146
Model_A,person143,person058,21,3,0.15782884,60.714285714285715
Model_A,person088,person055,21,3,0.1453286,59.285714285714285
Model_A,person046,person035,21,3,0.14459233,55.714285714285715
Model_A,person072,person002,21,3,0.14186844,63.57142857142857
Model_A,person054,person114,21,3,0.11001294,33.57142857142857
Model_A,person111,person126,21,2,0.26474538,57.142857142857146
Model_A,person152,person058,21,2,0.13948795,58.57142857142857
Model_A,person083,person058,20,3,0.24408087,52.5
Model_A,person003,person058,20,3,0.2288192,47.25
Model_A,person002,person058,20,3,0.19344702,55.5
Model_A,person141,person058,20,3,0.16500798,51.75
Model_A,person026,person058,20,3,0.14338434,45.75
Model_A,person059,person058,20,2,0.21692117,45.0
Model_A,person016,person079,20,2,0.20446262,59.25
Model_A,person067,person126,20,2,0.18433312,57.75
Model_A,person083,person002,20,2,0.15076607,60.0
Model_A,person101,person002,20,2,0.13530608,67.5
Model_A,person003,person139,19,3,0.2991132,36.31578947368421
Model_A,person026,person002,19,3,0.16938484,58.421052631578945
Model_A,person016,person058,19,3,0.16380543,69.47368421052632
Model_A,person128,person002,19,3,0.15768765,41.05263157894737
Model_A,person137,person139,19,3,0.1462276,33.1578947368421
Model_A,person004,person002,19,3,0.14568906,49.73684210526316
Model_A,person140,person002,19,3,0.14299993,56.8421052631579
Model_A,person131,person058,19,3,0.1368516,67.89473684210526
Model_A,person109,person079,19,2,0.3127829,62.36842105263158
Model_A,person022,person102,19,2,0.2190584,39.473684210526315
Model_A,person043,person112,19,2,0.17249914,29.210526315789473
Model_A,person145,person079,19,2,0.16661862,63.94736842105263
Model_A,person150,person002,19,2,0.15670611,62.36842105263158
Model_A,person150,person126,19,2,0.13798803,60.0
Model_A,person002,person126,18,3,0.2425472,70.83333333333333
Model_A,person024,person058,18,3,0.17038812,53.333333333333336
Model_A,person084,person126,18,3,0.16099298,48.333333333333336
Model_A,person104,person058,18,3,0.15466672,43.333333333333336
Model_A,person031,person002,18,3,0.14921153,44.166666666666664
Model_A,person066,person058,18,3,0.14316629,73.33333333333333
Model_A,person103,person058,18,3,0.121039204,51.666666666666664
Model_A,person110,person002,18,3,0.107255645,33.333333333333336
Model_A,person087,person006,18,3,0.10574811,75.83333333333333
Model_A,person117,person079,18,2,0.2565193,72.5
Model_A,person022,person002,18,2,0.19871706,60.0
Model_A,person004,person058,18,2,0.14444198,58.333333333333336
Model_A,person059,person021,18,2,0.1401797,56.666666666666664
Model_A,person057,person002,18,2,0.13936104,61.666666666666664
Model_A,person052,person058,18,2,0.13407284,64.16666666666667
Model_A,person109,person119,18,2,0.12585315,61.666666666666664
Model_A,person099,person079,17,3,0.2571492,74.11764705882354
Model_A,person087,person002,17,3,0.20955645,47.64705882352941
Model_A,person009,person079,17,3,0.2044806,65.29411764705883
Model_A,person049,person139,17,3,0.18044345,37.05882352941177
Model_A,person091,person126,17,3,0.164423,65.29411764705883
Model_A,person070,person058,17,3,0.16359511,68.82352941176471
Model_A,person049,person058,17,3,0.16192144,60.0
Model_A,person040,person058,17,3,0.15699512,60.0
Model_A,person139,person126,17,3,0.15393639,68.82352941176471
Model_A,person095,person079,17,3,0.14816773,59.11764705882353
Model_A,person127,person139,17,3,0.14796472,31.764705882352942
Model_A,person008,person102,17,3,0.13708788,37.94117647058823
Model_A,person071,person058,17,3,0.13525596,49.411764705882355
Model_A,person147,person058,17,3,0.13272081,68.82352941176471
Model_A,person102,person058,17,3,0.12255053,57.35294117647059
Model_A,person028,person058,17,3,0.108779125,62.64705882352941
Model_A,person053,person079,17,2,0.27862635,75.0
Model_A,person054,person079,17,2,0.26905227,72.3529411764706
Model_A,person029,person058,17,2,0.21662366,60.88235294117647
Model_A,person035,person003,17,2,0.21633573,55.588235294117645
Model_A,person022,person058,17,2,0.17601186,65.29411764705883
Model_A,person040,person102,17,2,0.16712452,35.294117647058826
Model_A,person057,person126,17,2,0.16679259,53.8235294117647
Model_A,person107,person002,17,2,0.16201746,45.88235294117647
Model_A,person132,person126,17,2,0.14608683,62.64705882352941
Model_A,person152,person126,17,2,0.13707262,64.41176470588235
Model_A,person036,person035,17,2,0.11515926,78.52941176470588
Model_A,person085,person058,17,2,0.1135834,72.3529411764706
Model_A,person135,person002,17,2,0.11241647,59.11764705882353
Model_A,person114,person079,16,3,0.27731854,69.375
Model_A,person085,person002,16,3,0.24554974,51.5625
Model_A,person136,person139,16,3,0.19776723,37.5
Model_A,person135,person139,16,3,0.19200468,30.0
Model_A,person034,person002,16,3,0.18428198,37.5
Model_A,person084,person058,16,3,0.16489227,59.0625
Model_A,person038,person002,16,3,0.14597534,38.4375
Model_A,person075,person058,16,3,0.14002694,45.9375
Model_A,person055,person058,16,3,0.1346134,58.125
Model_A,person063,person126,16,3,0.13057984,62.8125
Model_A,person080,person058,16,3,0.1202837,59.0625
Model_A,person122,person126,16,3,0.118018724,53.4375
Model_A,person106,person058,16,3,0.11072101,45.0
Model_A,person129,person018,16,3,0.10521871,44.0625
Model_A,person092,person079,16,3,0.09447004,78.75
Model_A,person004,person139,16,2,0.20044555,59.0625
Model_A,person130,person126,16,2,0.19121835,60.0
Model_A,person148,person058,16,2,0.16175035,54.375
Model_A,person087,person126,16,2,0.1427866,59.0625
Model_A,person125,person126,16,2,0.140072,50.625
Model_A,person018,person126,16,2,0.12633012,67.5
Model_A,person101,person116,16,2,0.12320468,60.9375
Model_A,person093,person126,16,2,0.12008719,67.5
Model_A,person041,person058,16,2,0.11908001,60.0
Model_A,person024,person062,16,2,0.112021156,54.375
Model_A,person140,person058,16,2,0.09427971,67.5
Model_A,person105,person084,15,3,0.4281978,18.0
Model_A,person101,person139,15,3,0.27245507,31.0
Model_A,person146,person151,15,3,0.21184154,27.0
Model_A,person081,person058,15,3,0.17444237,63.0
Model_A,person100,person058,15,3,0.1674478,68.0
Model_A,person129,person002,15,3,0.15749793,59.0
Model_A,person079,person036,15,3,0.15058652,72.0
Model_A,person038,person058,15,3,0.13382724,60.0
Model_A,person091,person124,15,3,0.12769121,21.0
Model_A,person151,person002,15,3,0.11476372,48.0
Model_A,person086,person126,15,3,0.10782861,53.0
Model_A,person071,person139,15,2,0.23699255,32.0
Model_A,person010,person079,15,2,0.21861237,67.0
Model_A,person075,person062,15,2,0.21223108,54.0
Model_A,person136,person126,15,2,0.17806032,57.0
Model_A,person051,person058,15,2,0.1652115,57.0
Model_A,person074,person126,15,2,0.14573354,71.0
Model_A,person020,person079,15,2,0.13169919,62.0
Model_A,person103,person002,15,2,0.12961379,50.0
Model_A,person104,person002,15,2,0.12845413,57.0
Model_A,person037,person126,15,2,0.11867086,62.0
Model_A,person135,person047,15,1,0.21433719,45.0
Model_A,person009,person003,15,1,0.18615481,70.0
Model_A,person011,person116,15,1,0.11170316,60.0
Model_A,person028,person139,14,3,0.2230611,45.0
Model_A,person047,person124,14,3,0.16839945,21.428571428571427
Model_A,person055,person062,14,3,0.16267636,48.214285714285715
Model_A,person088,person058,14,3,0.15026505,55.714285714285715
Model_A,person075,person092,14,3,0.14219926,25.714285714285715
Model_A,person138,person139,14,3,0.14091842,33.214285714285715
Model_A,person093,person002,14,3,0.13555238,65.35714285714286
Model_A,person082,person002,14,3,0.09843891,41.785714285714285
Model_A,person053,person058,14,3,0.08926122,53.57142857142857
Model_A,person083,person047,14,2,0.32158217,25.714285714285715
Model_A,person145,person058,14,2,0.18740933,54.642857142857146
Model_A,person096,person002,14,2,0.16888711,68.57142857142857
Model_A,person134,person062,14,2,0.1648171,58.92857142857143
Model_A,person127,person126,14,2,0.16280682,68.57142857142857
Model_A,person077,person126,14,2,0.15780447,51.42857142857143
Model_A,person082,person079,14,2,0.15666099,66.42857142857143
Model_A,person146,person035,14,2,0.13207352,49.285714285714285
Model_A,person047,person126,14,2,0.12876062,73.92857142857143
Model_A,person146,person002,14,2,0.120652795,67.5
Model_A,person114,person003,14,1,0.27337188,67.5
Model_A,person153,person093,14,1,0.18239982,62.142857142857146
Model_A,person070,person003,14,1,0.16538955,78.21428571428571
Model_A,person113,person079,14,1,0.15534176,70.71428571428571
Model_A,person015,person023,14,1,0.13381113,47.142857142857146
Model_A,person007,person096,14,1,0.09962273,71.78571428571429
Model_A,person107,person139,13,3,0.23409775,34.61538461538461
Model_A,person133,person031,13,3,0.2191219,19.615384615384617
Model_A,person117,person126,13,3,0.21424398,53.07692307692308
Model_A,person064,person123,13,3,0.1986424,33.46153846153846
Model_A,person149,person058,13,3,0.15973017,49.61538461538461
Model_A,person145,person002,13,3,0.1528205,43.84615384615385
Model_A,person110,person058,13,3,0.14664677,61.15384615384615
Model_A,person107,person126,13,3,0.14306241,69.23076923076923
Model_A,person015,person139,13,3,0.13723645,25.384615384615383
Model_A,person094,person139,13,3,0.12734708,55.38461538461539
Model_A,person020,person058,13,3,0.12622544,49.61538461538461
Model_A,person071,person002,13,3,0.12070929,41.53846153846154
Model_A,person113,person126,13,3,0.111886926,53.07692307692308
Model_A,person065,person079,13,2,0.18455482,77.3076923076923
Model_A,person130,person079,13,2,0.1623706,70.38461538461539
Model_A,person052,person047,13,2,0.15039873,31.153846153846153
Model_A,person094,person119,13,2,0.1497811,55.38461538461539
Model_A,person004,person126,13,2,0.108012185,61.15384615384615
Model_A,person102,person079,13,1,0.3053693,72.6923076923077
Model_A,person011,person093,13,1,0.23355502,66.92307692307692
Model_A,person015,person112,13,1,0.20498167,70.38461538461539
Model_A,person123,person003,13,1,0.17285068,65.76923076923077
Model_A,person063,person003,13,1,0.111872904,64.61538461538461
Model_A,person017,person126,13,1,0.08906181,61.15384615384615
Model_A,person014,person068,13,1,0.08179005,53.07692307692308
Model_A,person060,person139,12,3,0.23170131,23.75
Model_A,person152,person124,12,3,0.2237779,37.5
Model_A,person067,person139,12,3,0.19389166,37.5
Model_A,person139,person079,12,3,0.18938436,85.0
Model_A,person125,person002,12,3,0.181969,38.75
Model_A,person093,person058,12,3,0.15908334,53.75
Model_A,person106,person092,12,3,0.14945607,38.75
Model_A,person042,person058,12,3,0.1482822,80.0
Model_A,person018,person058,12,3,0.14703049,68.75
Model_A,person093,person035,12,3,0.14239356,55.0
Model_A,person001,person058,12,3,0.11755804,46.25
Model_A,person122,person035,12,3,0.11391785,58.75
Model_A,person153,person058,12,3,0.11274763,41.25
Model_A,person133,person002,12,3,0.10975618,55.0
Model_A,person074,person002,12,3,0.107998826,42.5
Model_A,person014,person002,12,3,0.08709108,65.0
Model_A,person110,person079,12,2,0.31952295,81.25
Model_A,person144,person139,12,2,0.28210437,26.25
Model_A,person018,person079,12,2,0.2635176,76.25
Model_A,person047,person058,12,2,0.18607746,47.5
Model_A,person086,person079,12,2,0.18208188,81.25
Model_A,person027,person058,12,2,0.16831791,65.0
Model_A,person142,person062,12,2,0.16479807,72.5
Model_A,person128,person058,12,2,0.14793211,46.25
Model_A,person045,person126,12,2,0.14751367,75.0
Model_A,person069,person002,12,2,0.13934894,56.25
Model_A,person105,person021,12,2,0.13925047,80.0
Model_A,person140,person126,12,2,0.13853818,76.25
Model_A,person134,person058,12,2,0.13496794,80.0
Model_A,person049,person126,12,2,0.118065946,63.75
Model_A,person117,person035,12,2,0.11600939,45.0
Model_A,person133,person035,12,2,0.11101859,47.5
Model_A,person076,person058,12,2,0.08489256,72.5
Model_A,person035,person021,12,1,0.27630797,75.0
Model_A,person008,person021,12,1,0.1637906,71.25
Model_A,person077,person008,12,1,0.15429036,53.75
Model_A,person040,person023,12,1,0.12432454,43.75
Model_A,person089,person021,12,1,0.11416695,70.0
Model_A,person045,person139,11,3,0.18942204,23.181818181818183
Model_A,person064,person058,11,3,0.17658275,54.54545454545455
Model_A,person014,person035,11,3,0.15476747,39.54545454545455
Model_A,person054,person058,11,3,0.14582068,50.45454545454545
Model_A,person026,person021,11,3,0.14212249,73.63636363636364
Model_A,person013,person139,11,3,0.13432145,46.36363636363637
Model_A,person131,person079,11,3,0.124481134,68.18181818181819
Model_A,person030,person058,11,3,0.11230398,57.27272727272727
Model_A,person153,person002,11,3,0.10868701,43.63636363636363
Model_A,person126,person002,11,3,0.0878431,80.45454545454545
Model_A,person084,person139,11,2,0.26783153,36.81818181818182
Model_A,person043,person047,11,2,0.22958526,23.181818181818183
Model_A,person015,person022,11,2,0.20418324,38.18181818181818
Model_A,person024,person079,11,2,0.20381556,75.0
Model_A,person104,person093,11,2,0.1898945,73.63636363636364
Model_A,person089,person062,11,2,0.18828802,53.18181818181818
Model_A,person103,person102,11,2,0.18602926,35.45454545454545
Model_A,person014,person079,11,2,0.18421707,75.0
Model_A,person046,person058,11,2,0.16227451,76.36363636363636
Model_A,person073,person139,11,2,0.15757729,38.18181818181818
Model_A,person074,person058,11,2,0.14855526,64.0909090909091
Model_A,person014,person126,11,2,0.14034912,57.27272727272727
Model_A,person031,person058,11,2,0.1401148,68.18181818181819
Model_A,person021,person126,11,2,0.13831381,69.54545454545455
Model_A,person091,person079,11,2,0.13452066,79.0909090909091
Model_A,person129,person069,11,2,0.1341766,30.0
Model_A,person133,person023,11,2,0.12831996,55.90909090909091
Model_A,person028,person153,11,2,0.12419779,69.54545454545455
Model_A,person040,person124,11,2,0.12174397,38.18181818181818
Model_A,person084,person116,11,2,0.1182085,72.27272727272727
Model_A,person043,person126,11,2,0.11719919,75.0
Model_A,person138,person126,11,2,0.105852135,73.63636363636364
Model_A,person131,person119,11,2,0.10070049,38.18181818181818
Model_A,person034,person062,11,2,0.09846901,72.27272727272727
Model_A,person044,person126,11,2,0.09377038,60.0
Model_A,person011,person058,11,2,0.0913241,73.63636363636364
Model_A,person054,person008,11,2,0.07584638,51.81818181818182
Model_A,person028,person079,11,1,0.21064611,58.63636363636363
Model_A,person027,person151,11,1,0.17444502,28.636363636363637
Model_A,person117,person021,11,1,0.16271664,76.36363636363636
Model_A,person098,person002,11,1,0.1394227,51.81818181818182
Model_A,person080,person151,11,1,0.12447107,28.636363636363637
Model_A,person117,person068,11,1,0.11784249,50.45454545454545
Model_A,person074,person014,11,1,0.11296518,42.27272727272727
Model_A,person053,person021,11,1,0.10585473,68.18181818181819
Model_A,person071,person116,11,1,0.07102049,65.45454545454545
Model_A,person093,person139,10,3,0.19212641,45.0
Model_A,person132,person139,10,3,0.16836563,34.5
Model_A,person048,person058,10,3,0.16789117,60.0
Model_A,person114,person058,10,3,0.1638811,67.5
Model_A,person060,person002,10,3,0.16272938,43.5
Model_A,person017,person002,10,3,0.14500013,45.0
Model_A,person042,person126,10,3,0.14380331,72.0
Model_A,person080,person002,10,3,0.12540346,36.0
Model_A,person099,person058,10,3,0.12476007,58.5
Model_A,person133,person058,10,3,0.12310479,51.0
Model_A,person122,person058,10,3,0.11173066,60.0
Model_A,person153,person102,10,3,0.10269783,34.5
Model_A,person011,person002,10,3,0.09065595,48.0
Model_A,person033,person058,10,3,0.08205837,69.0
Model_A,person088,person062,10,3,0.07798572,70.5
Model_A,person063,person139,10,2,0.22821772,45.0
Model_A,person150,person047,10,2,0.22698303,22.5
Model_A,person118,person035,10,2,0.19653752,75.0
Model_A,person128,person079,10,2,0.19076373,85.5
Model_A,person085,person047,10,2,0.18062182,28.5
Model_A,person125,person139,10,2,0.1754867,60.0
Model_A,person073,person126,10,2,0.16980541,54.0
Model_A,person015,person102,10,2,0.1680614,36.0
Model_A,person129,person126,10,2,0.16686812,63.0
Model_A,person090,person058,10,2,0.16666152,75.0
Model_A,person046,person112,10,2,0.15184987,36.0
Model_A,person075,person079,10,2,0.15028587,79.5
Model_A,person091,person058,10,2,0.14953622,58.5
Model_A,person046,person093,10,2,0.14893149,48.0
Model_A,person005,person058,10,2,0.14795749,70.5
Model_A,person098,person126,10,2,0.14794782,57.0
Model_A,person137,person126,10,2,0.14700279,72.0
Model_A,person088,person092,10,2,0.13780098,27.0
Model_A,person040,person002,10,2,0.13749138,58.5
Model_A,person035,person112,10,2,0.13133939,24.0
Model_A,person012,person020,10,2,0.12984328,42.0
Model_A,person034,person058,10,2,0.12672272,63.0
Model_A,person074,person065,10,2,0.11294031,33.0
Model_A,person019,person058,10,2,0.11092196,57.0
Model_A,person003,person126,10,2,0.11026243,79.5
Model_A,person032,person126,10,2,0.10497538,58.5
Model_A,person125,person086,10,2,0.101899125,57.0
Model_A,person010,person021,10,2,0.10149409,78.0
Model_A,person147,person079,10,1,0.38541844,73.5
Model_A,person091,person139,10,1,0.2132723,40.5
Model_A,person126,person122,10,1,0.2131292,76.5
Model_A,person074,person139,10,1,0.20801537,48.0
Model_A,person033,person034,10,1,0.19684193,48.0
Model_A,person037,person079,10,1,0.18532637,60.0
Model_A,person108,person124,10,1,0.18256272,27.0
Model_A,person073,person079,10,1,0.17536756,70.5
Model_A,person078,person096,10,1,0.16701125,61.5
Model_A,person049,person079,10,1,0.16116622,70.5
Model_A,person017,person093,10,1,0.16081421,73.5
Model_A,person124,person079,10,1,0.15418148,67.5
Model_A,person061,person126,10,1,0.14053972,61.5
Model_A,person153,person116,10,1,0.13048743,76.5
Model_A,person134,person011,10,1,0.12426627,76.5
Model_A,person122,person021,10,1,0.12237845,78.0
Model_A,person150,person021,10,1,0.11421313,78.0
Model_A,person040,person022,10,1,0.11143901,28.5
Model_A,person037,person003,10,1,0.10492696,48.0
Model_A,person120,person021,10,1,0.103300214,76.5
Model_A,person009,person112,10,1,0.095820144,75.0
Model_A,person151,person021,10,1,0.09566899,75.0
Model_A,person099,person003,10,1,0.09554281,67.5
Model_A,person130,person096,10,1,0.08337412,58.5
Model_A,person144,person084,9,3,0.40644538,15.0
