abs_yaw,n_images,A_correct_all_3,B_correct_all_3,A_wrong_all_3,B_wrong_all_3,A_correct_all_3_percent,B_correct_all_3_percent,A_wrong_all_3_percent,B_wrong_all_3_percent
0,612,612,612,0,0,100.0,100.0,0.0,0.0
15,1224,332,1132,485,13,27.124183006535947,92.48366013071896,39.624183006535944,1.0620915032679739
30,1224,68,1224,889,0,5.555555555555555,100.0,72.63071895424837,0.0
45,1224,28,1067,1061,18,2.287581699346405,87.17320261437908,86.68300653594771,1.4705882352941175
60,1224,5,1216,1088,0,0.40849673202614384,99.34640522875817,88.88888888888889,0.0
75,1224,3,686,1158,257,0.24509803921568626,56.04575163398693,94.6078431372549,20.996732026143793
90,1224,1,370,1147,282,0.08169934640522876,30.22875816993464,93.70915032679738,23.03921568627451
