seed,model,person,n_images,recall
42,Model_A,person001,52,0.07692307692307693
42,Model_A,person002,52,0.6538461538461539
42,Model_A,person003,52,0.46153846153846156
42,Model_A,person004,52,0.15384615384615385
42,Model_A,person005,52,0.15384615384615385
42,Model_A,person006,52,0.3076923076923077
42,Model_A,person007,52,0.19230769230769232
42,Model_A,person008,52,0.17307692307692307
42,Model_A,person009,52,0.28846153846153844
42,Model_A,person010,52,0.15384615384615385
42,Model_A,person011,52,0.11538461538461539
42,Model_A,person012,52,0.21153846153846154
42,Model_A,person013,52,0.07692307692307693
42,Model_A,person014,52,0.21153846153846154
42,Model_A,person015,52,0.07692307692307693
42,Model_A,person016,52,0.4230769230769231
42,Model_A,person017,52,0.09615384615384616
42,Model_A,person018,52,0.5192307692307693
42,Model_A,person019,52,0.15384615384615385
42,Model_A,person020,52,0.21153846153846154
42,Model_A,person021,52,0.17307692307692307
42,Model_A,person022,52,0.15384615384615385
42,Model_A,person023,52,0.07692307692307693
42,Model_A,person024,52,0.17307692307692307
42,Model_A,person025,52,0.28846153846153844
42,Model_A,person026,52,0.15384615384615385
42,Model_A,person027,52,0.07692307692307693
42,Model_A,person028,52,0.15384615384615385
42,Model_A,person029,52,0.07692307692307693
42,Model_A,person030,52,0.19230769230769232
42,Model_A,person031,52,0.15384615384615385
42,Model_A,person032,52,0.2692307692307692
42,Model_A,person033,52,0.07692307692307693
42,Model_A,person034,52,0.07692307692307693
42,Model_A,person035,52,0.15384615384615385
42,Model_A,person036,52,0.6346153846153846
42,Model_A,person037,52,0.11538461538461539
42,Model_A,person038,52,0.11538461538461539
42,Model_A,person039,52,0.09615384615384616
42,Model_A,person040,52,0.07692307692307693
42,Model_A,person041,52,0.07692307692307693
42,Model_A,person042,52,0.28846153846153844
42,Model_A,person043,52,0.07692307692307693
42,Model_A,person044,52,0.25
42,Model_A,person045,52,0.11538461538461539
42,Model_A,person046,52,0.1346153846153846
42,Model_A,person047,52,0.15384615384615385
42,Model_A,person048,52,0.17307692307692307
42,Model_A,person049,52,0.17307692307692307
42,Model_A,person050,52,0.1346153846153846
42,Model_A,person051,52,0.07692307692307693
42,Model_A,person052,52,0.09615384615384616
42,Model_A,person053,52,0.23076923076923078
42,Model_A,person054,52,0.07692307692307693
