model,person,n_seeds,recall_mean,recall_sd
Model_B,person148,3,0.717948717948718,0.05551444896054097
Model_B,person067,3,0.717948717948718,0.05551444896054093
Model_B,person052,3,0.7307692307692308,0.01923076923076919
Model_B,person085,3,0.7307692307692308,0.01923076923076919
Model_B,person146,3,0.75,0.11538461538461542
Model_B,person149,3,0.75,0.08382497968347445
Model_B,person025,3,0.75,0.05769230769230771
Model_B,person002,3,0.75,0.05087983290508829
Model_B,person009,3,0.75,0.019230769230769273
Model_B,person152,3,0.7564102564102564,0.10591481821704042
Model_B,person041,3,0.7564102564102564,0.07772022854475728
Model_B,person073,3,0.7564102564102564,0.02220577958421643
Model_B,person121,3,0.7692307692307692,0.050879832905088254
Model_B,person051,3,0.7692307692307692,0.019230769230769273
Model_B,person112,3,0.7756410256410257,0.029375485224075903
Model_B,person086,3,0.7756410256410257,0.029375485224075897
Model_B,person049,3,0.782051282051282,0.08671634140044031
Model_B,person124,3,0.782051282051282,0.02937548522407593
Model_B,person108,3,0.782051282051282,0.029375485224075928
Model_B,person038,3,0.7884615384615384,0.06661733875264914
