abs_yaw,A_negative_yaw_accuracy,A_positive_yaw_accuracy,A_positive_minus_negative,B_negative_yaw_accuracy,B_positive_yaw_accuracy,B_positive_minus_negative
15,0.48856209150326796,0.3611111111111111,-0.12745098039215685,0.9689542483660131,0.9771241830065359,0.008169934640522847
30,0.22549019607843138,0.15196078431372548,-0.0735294117647059,1.0,1.0,0.0
45,0.10947712418300654,0.07352941176470588,-0.03594771241830065,0.9509803921568627,0.9248366013071896,-0.02614379084967311
60,0.05555555555555555,0.05555555555555555,0.0,0.9983660130718954,0.9983660130718954,0.0
75,0.03594771241830065,0.017973856209150325,-0.017973856209150325,0.7450980392156863,0.6601307189542484,-0.08496732026143794
90,0.024509803921568627,0.03104575163398693,0.006535947712418302,0.46568627450980393,0.5702614379084967,0.10457516339869277
