abs_yaw,n_images_A,model_A_accuracy,model_A_macro_f1,n_images_B,model_B_accuracy,model_B_macro_f1,accuracy_gain_B_minus_A,macro_f1_gain_B_minus_A
0,612,100.0,100.0,612,100.0,100.0,0.0,0.0
15,1224,42.483660130718945,40.71938128482268,1224,97.30392156862744,97.212685419448,54.8202614379085,56.4933041346253
30,1224,18.87254901960784,17.05704199570876,1224,100.0,100.0,81.12745098039215,82.94295800429123
45,1224,9.15032679738562,7.56233504774656,1224,93.7908496732026,93.59960006335892,84.640522875817,86.03726501561236
60,1224,5.55555555555555,4.33245741483233,1224,99.83660130718954,99.83596052800205,94.281045751634,95.50350311316971
75,1224,2.6960784313725403,1.85912934490889,1224,70.26143790849673,73.66057061696499,67.56535947712418,71.8014412720561
90,1224,2.77777777777777,1.6035862425407998,1224,51.79738562091504,49.92294487852168,49.01960784313726,48.31935863598088
