abs_yaw,Both correct,A wrong / B right,A right / B wrong,Both wrong,total,Both correct_percent,A wrong / B right_percent,A right / B wrong_percent,Both wrong_percent
0,612,0,0,0,612,100.0,0.0,0.0,0.0
15,518,673,2,31,1224,42.3202614379085,54.98366013071896,0.16339869281045752,2.5326797385620914
30,231,993,0,0,1224,18.872549019607842,81.12745098039215,0.0,0.0
45,111,1037,1,75,1224,9.068627450980392,84.72222222222221,0.08169934640522876,6.127450980392156
60,68,1154,0,2,1224,5.555555555555555,94.28104575163398,0.0,0.16339869281045752
75,30,830,3,361,1224,2.450980392156863,67.81045751633987,0.24509803921568626,29.49346405228758
90,25,609,9,581,1224,2.042483660130719,49.754901960784316,0.7352941176470588,47.467320261437905
