abs_yaw,n_seeds,model_A_accuracy_mean,model_A_accuracy_sd,model_B_accuracy_mean,model_B_accuracy_sd,model_A_macro_f1_mean,model_A_macro_f1_sd,model_B_macro_f1_mean,model_B_macro_f1_sd,accuracy_gain_mean,accuracy_gain_sd
0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15,3,0.4256535947712418,0.02901189690288355,0.9621459694989106,0.011960888483658876,0.4043612312265074,0.022652933855998935,0.9603548295574642,0.012837670704514276,0.5364923747276689,0.023907821627111803
30,3,0.15522875816993462,0.0319881894615227,1.0,0.0,0.1367629332875085,0.03309695937920029,1.0,0.0,0.8447712418300654,0.03198818946152273
45,3,0.0686274509803921,0.020078767528504137,0.937636165577342,0.002056055129431113,0.049551655112340366,0.022878737380736463,0.9356811992291262,0.0022212294600648702,0.86900871459695,0.01961351588238648
60,3,0.04684095860566443,0.008999298279879234,0.9975490196078431,0.0008169934640523541,0.033561731719392,0.010032973598408898,0.9975404758853431,0.0008185959345087889,0.9507080610021786,0.00818353986999823
75,3,0.022875816993463968,0.007075370945951289,0.6827342047930283,0.028958164014237026,0.014377816850806566,0.005268068031145132,0.7217761598672633,0.02169690930975517,0.6598583877995643,0.02194252405063576
90,3,0.026688453159041333,0.005796240918788912,0.5389433551198257,0.018201421363297277,0.01644481997664893,0.004345828419496356,0.5197440251837131,0.01834792687975467,0.5122549019607844,0.020326560955269208
