seed,abs_yaw,n_pairs,model_A_mean_cosine,model_A_std_cosine,model_A_median_cosine,model_B_mean_cosine,model_B_std_cosine,model_B_median_cosine,cosine_gain_B_minus_A,model_A_within_image_std,model_B_within_image_std
42,0,612,1.0000000012661117,8.000160290105728e-08,1.0,1.0000000164594525,7.526844004061621e-08,1.0,1.5193340807684308e-08,,
42,15,1224,0.4755708976305565,0.238024201818794,0.4822075814008713,0.8620321477452914,0.084827016715409,0.8831305503845215,0.3864612501147348,,
42,30,1224,0.3128813099384013,0.2252565553601567,0.3106486946344375,0.9266882303590868,0.0373725440964954,0.935416966676712,0.6138069204206854,,
42,45,1224,0.2449984674156416,0.2073480017514219,0.2413161993026733,0.8117351406223439,0.0963679361192849,0.8309324383735657,0.5667366732067023,,
42,60,1224,0.1978406116377918,0.1851926674837292,0.195689395070076,0.900236443951239,0.0548300368520055,0.9131929874420166,0.7023958323134473,,
42,75,1224,0.1537296687583637,0.1863278622594136,0.1488455459475517,0.6520392661982709,0.2390630884912554,0.7233276665210724,0.4983095974399071,,
42,90,1224,0.153629419143768,0.1801296441505779,0.1533787846565246,0.5910011396661181,0.1703284657166063,0.6135055422782898,0.43737172052235,,
123,0,612,1.0000000092523549,,1.0,1.0000000116871852,,1.0,2.4348303373500357e-09,8.049176621250785e-08,7.203713884970876e-08
123,15,1224,0.4634511561630966,,0.4831101298332214,0.8661153140703058,,0.885732889175415,0.4026641579072092,0.2448699240032359,0.081398962734235
123,30,1224,0.2786966337625213,,0.2849331945180893,0.9279799658585998,,0.9380110800266266,0.6492833320960785,0.2418143033733494,0.0396276283502241
123,45,1224,0.2107846028909252,,0.216702327132225,0.8090197513111277,,0.8335250914096832,0.5982351484202024,0.2298104587064137,0.1015405619777437
123,60,1224,0.1672317489271003,,0.1655624359846115,0.8948620391242644,,0.9109847843647004,0.7276302901971641,0.2024684225905288,0.0593577021794956
123,75,1224,0.1341996184757376,,0.1269915103912353,0.6399307803774338,,0.722776859998703,0.5057311619016961,0.2066215669573364,0.246858202486868
123,90,1224,0.1281945517721456,,0.1171203069388866,0.5910417508521099,,0.6123938858509064,0.4628471990799642,0.2023629404795961,0.1681913691392298
2026,0,612,1.000000004674874,,1.0,1.0000000075966704,,1.0,2.921796360411122e-09,8.367874817551595e-08,7.0634687781161e-08
2026,15,1224,0.4385230667698112,,0.4328963458538055,0.8570946882801508,,0.8764253556728363,0.4185716215103395,0.235016007172393,0.0873888652054654
2026,30,1224,0.2704584343318738,,0.2620561718940735,0.9280290880234412,,0.9361647963523864,0.6575706536915675,0.2226413638504745,0.0390956776046329
2026,45,1224,0.2097164616644489,,0.191323235630989,0.8115020515823287,,0.830737829208374,0.6017855899178798,0.2088631751099708,0.0943752908222682
2026,60,1224,0.1658475997581477,,0.1613082513213157,0.8981605575365179,,0.9131107926368712,0.7323129577783702,0.1879611486432487,0.0578902130894245
2026,75,1224,0.1208564939317773,,0.1081300601363182,0.6287700883241247,,0.7077343165874481,0.5079135943923474,0.1903298529759861,0.2435697305830903
2026,90,1224,0.1214071935415636,,0.1161168105900287,0.5929704608001558,,0.6186872124671936,0.4715632672585922,0.1871203049287639,0.1630847329497677
