seed,model,accuracy,macro_f1
42,Model_A,0.2023629964806435,0.237891074547628
42,Model_B,0.8661387631975868,0.8707850152461334
123,Model_A,0.1959527400703871,0.2402366007846582
123,Model_B,0.8685268979386627,0.8724932846942182
2026,Model_A,0.1767219708396179,0.2238918376930732
2026,Model_B,0.8587229763700351,0.8675983092628736
