pose_category,n_seeds,model_A_accuracy_mean,model_A_accuracy_sd,model_B_accuracy_mean,model_B_accuracy_sd,accuracy_gain_mean,accuracy_gain_sd,model_A_macro_f1_mean,model_A_macro_f1_sd,model_B_macro_f1_mean,model_B_macro_f1_sd
extreme_extrapolation,3,0.024782135076252668,0.006332797360693638,0.6108387799564271,0.011039493496029031,0.5860566448801743,0.005781828362081207,0.015605089670394,0.004378472361333284,0.6233795958002821,0.006976203910327458
seen_training_pose,3,0.28082788671023967,0.016367079739996397,0.9990196078431373,0.0003267973856209555,0.7181917211328975,0.01604083671825716,0.34660332959449835,0.009507150549693201,0.9990190628402011,0.0003268995789952961
unseen_interpolation,3,0.24714052287581698,0.018750845453477973,0.9498910675381262,0.006741227556910015,0.7027505446623094,0.012372349337255518,0.26620183520042556,0.019023798171343975,0.9489512293592303,0.00691446890358766
