seed,pose_category,n_images_A,model_A_accuracy,model_A_macro_f1,n_images_B,model_B_accuracy,model_B_macro_f1,accuracy_gain_B_minus_A,macro_f1_gain_B_minus_A,n_images
42,extreme_extrapolation,2448.0,0.0273692810457516,0.0176820230902748,2448.0,0.6102941176470589,0.620189107147751,0.5829248366013072,0.6025070840574761,
42,seen_training_pose,3060.0,0.2977124183006536,0.352548354024473,3060.0,0.9993464052287582,0.999345996476556,0.7016339869281045,0.6467976424520829,
42,unseen_interpolation,2448.0,0.2581699346405229,0.2711036328460203,2448.0,0.9554738562091504,0.9545732950640662,0.6973039215686274,0.6834696622180458,
123,extreme_extrapolation,,0.0294117647058823,0.0185585875013778,,0.622140522875817,0.6313805413072945,0.5927287581699346,0.6128219538059166,2448.0
123,seen_training_pose,,0.2797385620915033,0.3516232153281736,,0.9990196078431371,0.999018994714834,0.719281045751634,0.6473957793866605,3060.0
123,unseen_interpolation,,0.2577614379084967,0.2822950508548758,,0.951797385620915,0.9510497955868352,0.6940359477124183,0.6687547447319594,2448.0
2026,extreme_extrapolation,,0.0175653594771241,0.0105746584195294,,0.6000816993464052,0.6185691389458009,0.582516339869281,0.6079944805262715,2448.0
2026,seen_training_pose,,0.2650326797385621,0.3356384194308485,,0.9986928104575163,0.9986921973292132,0.7336601307189543,0.6630537778983647,3060.0
2026,unseen_interpolation,,0.2254901960784313,0.2452068219003807,,0.9424019607843136,0.9412305974267894,0.7169117647058824,0.6960237755264087,2448.0
