abs_yaw,n_seeds,model_A_mean_cosine_mean,model_A_mean_cosine_sd,model_B_mean_cosine_mean,model_B_mean_cosine_sd,cosine_gain_mean,cosine_gain_sd
0,3,1.0000000050644469,4.0073489287873315e-09,1.0000000119144359,4.435759170664515e-09,6.849989168481822e-09,7.229655690863922e-09
15,3,0.4591817068544881,0.018889324787315236,0.8617473833652493,0.00451704997488497,0.4025656765107612,0.016055412225477145
30,3,0.2873454593442655,0.022495037933715514,0.9275657614137093,0.0007603609739063375,0.6402203020694438,0.02324693468823338
45,3,0.22183317732367192,0.02006883729077888,0.8107523145052667,0.0015049631362288587,0.5889191371815948,0.019292425708167478
60,3,0.17697332010767994,0.01808485164668174,0.8977530135373405,0.0027102815157287853,0.7207796934296605,0.01609212869927979
75,3,0.13626192705529286,0.01653333733106563,0.6402467116332765,0.0116378055987148,0.5039847845779836,0.0050345371865945735
90,3,0.1344103881524924,0.016986624800715167,0.5916711171061279,0.0011254478413122283,0.45726072895363545,0.017767159407413163
