model,n_seeds,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,accuracy_mean_percent,accuracy_sd_percent,macro_f1_mean_percent,macro_f1_sd_percent,accuracy_report,macro_f1_report
Model_A,3,0.19167923579688284,0.013344012817090566,0.23400650434178646,0.008837716582528183,19.167923579688285,1.3344012817090567,23.400650434178647,0.8837716582528182,19.17 ± 1.33%,23.40 ± 0.88%
Model_B,3,0.8644628791687615,0.00511230476297175,0.8702922030677417,0.0024844202544547374,86.44628791687616,0.511230476297175,87.02922030677416,0.24844202544547375,86.45 ± 0.51%,87.03 ± 0.25%
